Transaction_ID,Customer_Name,Application_Date,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose_Text,Risk_Analyst_Note,Default_Status
a1b2c3d4-e5f6-7890-1234-567890abcdef,Jennifer Smith,2023-05-15,45000.0,580,42500.5,Debt Consolidation,High risk due to low credit score and large loan amount.,1
b2c3d4e5-f6a7-8901-2345-67890abcdef1,Michael Williams,2024-01-20,155000.75,790,25000.0,Home Improvement,Low risk profile with strong credit history.,0
c3d4e5f6-a7b8-9012-3456-7890abcdef12,Mary Johnson,2022-11-01,82000.0,695,15000.0,Car Purchase,"Standard application, requires routine checks.",0
d4e5f6a7-b8c9-0123-4567-890abcdef123,David Brown,2023-09-10,38000.5,510,8000.0,Medical Expenses,High risk due to low credit score.,1
e5f6a7b8-c9d0-1234-5678-90abcdef1234,Patricia Jones,2024-03-22,120000.0,720,48000.0,Business Investment,Large loan amount requires further review.,0
f6a7b8c9-d0e1-2345-6789-0abcdef12345,Robert Garcia,2023-02-18,65000.0,640,35000.0,Major Purchase,"Standard application, requires routine checks.",0
a7b8c9d0-e1f2-3456-7890-bcdef1234567,Linda Miller,2022-12-30,95000.0,710,45000.0,Debt Consolidation,Large loan amount requires further review.,1
b8c9d0e1-f2a3-4567-8901-cdef12345678,William Davis,2023-08-05,210000.0,820,50000.0,Home Improvement,Low risk profile despite large loan amount.,0
c9d0e1f2-a3b4-5678-9012-def123456789,Elizabeth Rodriguez,2024-04-11,31000.0,450,5500.0,Emergency Fund,High risk due to very low credit score.,1
d0e1f2a3-b4c5-6789-0123-ef1234567890,Richard Martinez,2023-07-25,78000.0,680,22000.0,Vacation,"Standard application, requires routine checks.",0
e1f2a3b4-c5d6-7890-1234-f1234567890a,Susan Hernandez,2023-10-02,52000.0,610,18000.0,Car Purchase,"Borderline credit score, proceed with caution.",0
f2a3b4c5-d6e7-8901-2345-1234567890ab,Joseph Lopez,2024-02-14,41000.0,595,39000.0,Debt Consolidation,High risk due to low credit score.,1
a3b4c5d6-e7f8-9012-3456-234567890abc,Jessica Gonzalez,2023-01-09,180000.0,760,49500.0,Business Investment,Large loan amount but strong income and credit.,0
b4c5d6e7-f8a9-0123-4567-34567890abcd,Thomas Wilson,2023-11-19,88000.0,705,12000.0,Home Improvement,"Standard application, requires routine checks.",0
c5d6e7f8-a9b0-1234-5678-4567890abcde,Sarah Anderson,2022-10-28,61000.0,630,41000.0,Major Purchase,Large loan amount requires further review.,1
d6e7f8a9-b0c1-2345-6789-567890abcdef,Charles Thomas,2024-05-01,250000.0,850,30000.0,Vacation,Excellent credit and income profile.,0
e7f8a9b0-c1d2-3456-7890-67890abcdef1,Karen Taylor,2023-06-12,59000.0,605,28000.0,Medical Expenses,"Standard application, requires routine checks.",0
f8a9b0c1-d2e3-4567-8901-7890abcdef12,Daniel Moore,2022-09-05,72000.0,550,33000.0,Debt Consolidation,High risk due to low credit score.,1
a9b0c1d2-e3f4-5678-9012-890abcdef123,Nancy Jackson,2023-04-30,115000.0,730,7500.0,Car Purchase,"Standard application, requires routine checks.",0
b0c1d2e3-f4a5-6789-0123-90abcdef1234,James Martin,2024-03-01,99000.0,660,46000.0,Business Investment,Large loan amount requires further review.,0
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Jennifer Smith,2023-05-15,85200.75,680,25000.0,Debt consolidation,"Moderate risk, proceed with caution.",0
f0e9d8c7-b6a5-4f3e-2d1c-0b9a8f7e6d5c,Michael Williams,2022-11-21,42500.5,590,15000.0,Medical expenses,Low credit score suggests high risk.,1
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5e,Mary Johnson,2024-01-10,125000.0,760,45000.0,Home improvement,Loan amount is high but income supports it.,0
